,County,Two-Races,Population,Poverty,Infections,Poverty Rate,Infection Rate
101,CLEARWATER,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
102,CLEARWATER,Non-Caucasian,202.0,29.0,0.0,0.14356435643564355,0.0
103,CLEARWATER,Non-Caucasian,645.0,330.0,0.0,0.5116279069767442,0.0
104,CLEARWATER,Non-Caucasian,446.0,113.0,0.0,0.2533632286995516,0.0
105,COOK,Non-Caucasian,2.0,0.0,0.0,0.0,0.0
106,COOK,Non-Caucasian,53.0,8.0,0.0,0.1509433962264151,0.0
107,COOK,Caucasian,4592.0,305.0,0.0,0.0664198606271777,0.0
108,COOK,Non-Caucasian,1.0,0.0,0.0,0.0,0.0
109,COOK,Non-Caucasian,129.0,80.0,0.0,0.6201550387596899,0.0
110,COOK,Non-Caucasian,495.0,68.0,0.0,0.13737373737373737,0.0
111,COOK,Non-Caucasian,130.0,82.0,0.0,0.6307692307692307,0.0
112,COTTONWOOD,Non-Caucasian,26.0,4.0,0.0,0.15384615384615385,0.0
113,COTTONWOOD,Non-Caucasian,504.0,117.0,0.0,0.23214285714285715,0.0
114,COTTONWOOD,Caucasian,9631.0,935.0,0.0,0.09708233828262901,0.0
115,COTTONWOOD,Non-Caucasian,75.0,0.0,0.0,0.0,0.0
116,COTTONWOOD,Non-Caucasian,901.0,147.0,0.0,0.16315205327413984,0.0
117,COTTONWOOD,Non-Caucasian,13.0,8.0,0.0,0.6153846153846154,0.0
118,COTTONWOOD,Non-Caucasian,129.0,84.0,0.0,0.6511627906976745,0.0
119,CROW WING,Non-Caucasian,538.0,192.0,0.0,0.35687732342007433,0.0
120,CROW WING,Non-Caucasian,276.0,3.0,0.0,0.010869565217391304,0.0
121,CROW WING,Caucasian,61215.0,5803.0,5113.0,0.09479702687249857,0.08352527975169484
122,CROW WING,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
123,CROW WING,Non-Caucasian,969.0,56.0,0.0,0.05779153766769866,0.0
124,CROW WING,Non-Caucasian,534.0,113.0,0.0,0.21161048689138576,0.0
125,CROW WING,Non-Caucasian,1243.0,192.0,0.0,0.15446500402252614,0.0
126,DAKOTA,Non-Caucasian,26711.0,3958.0,3433.0,0.1481786529894051,0.12852382913406463
127,DAKOTA,Non-Caucasian,20899.0,1200.0,1551.0,0.05741901526388823,0.07421407722857554
128,DAKOTA,Caucasian,328845.0,10699.0,26590.0,0.03253508491842661,0.0808587632471225
129,DAKOTA,Non-Caucasian,133.0,0.0,0.0,0.0,0.0
130,DAKOTA,Non-Caucasian,31069.0,5025.0,1532.0,0.16173677942643794,0.04930960121020953
131,DAKOTA,Non-Caucasian,825.0,147.0,65.0,0.1781818181818182,0.07878787878787878
132,DAKOTA,Non-Caucasian,16789.0,3446.0,643.0,0.2052534397522187,0.03829888617547204
133,DODGE,Non-Caucasian,30.0,16.0,0.0,0.5333333333333333,0.0
134,DODGE,Non-Caucasian,193.0,8.0,0.0,0.04145077720207254,0.0
135,DODGE,Caucasian,19042.0,623.0,1560.0,0.03271715155971011,0.08192416762945069
136,DODGE,Non-Caucasian,4.0,0.0,0.0,0.0,0.0
